,DATE,DATE_NAME,DATE_CODE,DATE_TYPE,DATE_TYPECODE,DATE_SORTORDER,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,C2021_HH_1,C2021_HH_1_NAME,C2021_HH_1_CODE,C2021_HH_1_TYPE,C2021_HH_1_TYPECODE,C2021_HH_1_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT
51,2021,2021,2021,date,0,0,629165530,E00021196,E00021196,2021 output areas,150,51,0,Number of households,0,Number of households,1000000,0,20100,Value,110,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165530d0d20100,51,913
52,2021,2021,2021,date,0,0,629165531,E00021198,E00021198,2021 output areas,150,52,0,Number of households,0,Number of households,1000000,0,20100,Value,98,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165531d0d20100,52,913
53,2021,2021,2021,date,0,0,629165532,E00021199,E00021199,2021 output areas,150,53,0,Number of households,0,Number of households,1000000,0,20100,Value,107,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165532d0d20100,53,913
54,2021,2021,2021,date,0,0,629165533,E00021200,E00021200,2021 output areas,150,54,0,Number of households,0,Number of households,1000000,0,20100,Value,117,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165533d0d20100,54,913
55,2021,2021,2021,date,0,0,629165534,E00021201,E00021201,2021 output areas,150,55,0,Number of households,0,Number of households,1000000,0,20100,Value,112,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165534d0d20100,55,913
56,2021,2021,2021,date,0,0,629165535,E00021202,E00021202,2021 output areas,150,56,0,Number of households,0,Number of households,1000000,0,20100,Value,96,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165535d0d20100,56,913
57,2021,2021,2021,date,0,0,629165536,E00021203,E00021203,2021 output areas,150,57,0,Number of households,0,Number of households,1000000,0,20100,Value,149,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165536d0d20100,57,913
58,2021,2021,2021,date,0,0,629165537,E00021204,E00021204,2021 output areas,150,58,0,Number of households,0,Number of households,1000000,0,20100,Value,173,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165537d0d20100,58,913
59,2021,2021,2021,date,0,0,629165538,E00021205,E00021205,2021 output areas,150,59,0,Number of households,0,Number of households,1000000,0,20100,Value,66,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165538d0d20100,59,913
60,2021,2021,2021,date,0,0,629165539,E00021206,E00021206,2021 output areas,150,60,0,Number of households,0,Number of households,1000000,0,20100,Value,73,A,Normal Value,F,Free (free for publication),Nm-2059d1d32336e0d629165539d0d20100,60,913
